Year,Round,Pick,Player,Position,NBA Team,Prev Team,Games Played,Games Started,Minutes,Points Per Game,FGA,FGM,FG%,3PA,3PM,3P%,FTA,FTM,FT%,Rebounds,DBoards,OBoards,Assists,Turnovers,Steals,Blocks,Fouls
2006,2,59,Damir Markota,PF,SAN,KK Cibona (Croatia),30,0,5.7,1.7,1.73,0.63,0.365,0.53,0.2,0.375,0.37,0.23,0.636,1.03,0.67,0.37,0.2,0.5,0.1,0.03,0.73
2006,2,60,Will Blalock,G,DET,Iowa State,14,0,11.8,1.79,2.14,0.64,0.3,0.36,0.07,0.2,0.43,0.43,1,1.07,0.64,0.43,1.21,0.86,0.36,0,0.64
2006,0,0,Lou Amundson,PF,None,UNLV,428,42,12.9,3.65,3.19,1.51,0.474,0.01,0,0,1.41,0.63,0.444,3.6,2.1,1.5,0.44,0.7,0.36,0.71,1.95
2006,0,0,J.J. Barea,G,None,Northeastern,695,91,19.4,8.6,7.77,3.28,0.423,2.6,0.91,0.351,1.4,1.12,0.799,2.01,1.7,0.31,3.62,1.45,0.39,0.03,1.45
2006,0,0,C.J. Watson,G,None,Tennessee,600,104,20.2,7.24,6.03,2.53,0.419,2.1,0.79,0.373,1.73,1.4,0.812,1.93,1.56,0.36,2.48,1.08,0.93,0.11,1.49
2006,0,0,Chris Quinn,G,None,Notre Dame,241,26,13.7,4.53,3.97,1.58,0.399,1.77,0.67,0.377,0.87,0.7,0.809,1.1,0.98,0.12,1.89,0.57,0.42,0.03,1.03
2006,0,0,Chris Copeland,PF,None,Colorado,171,26,12.3,5.84,5.02,2.14,0.427,2.47,0.9,0.365,0.87,0.65,0.752,1.59,1.21,0.38,0.63,0.75,0.19,0.18,1.39
2006,0,0,Pops Mensah-Bonsu,F,None,George Washington,62,0,8.2,2.92,2.52,1.03,0.41,0.03,0,0,1.45,0.85,0.589,2.9,1.56,1.34,0.18,0.65,0.23,0.23,1.32
2006,0,0,Tarence Kinsey,GF,None,South Carolina,109,15,12.3,4.69,3.77,1.71,0.453,0.65,0.21,0.324,1.3,1.06,0.817,1.35,0.96,0.39,0.49,0.65,0.62,0.01,0.94
2006,0,0,Jeremy Richardson,SF,None,Delta State,45,1,5.4,1.91,2.2,0.73,0.333,0.87,0.33,0.385,0.18,0.11,0.625,0.56,0.49,0.07,0.11,0.22,0.09,0,0.47
2006,0,0,Thomas Gardner,G,None,Missouri,20,0,7.1,2.25,2.95,0.9,0.305,1.75,0.35,0.2,0.3,0.1,0.333,0.55,0.4,0.15,0.15,0.35,0.2,0.05,0.4
2006,0,0,Chris Hunter,F-C,None,Michigan,60,9,13,4.5,3.62,1.82,0.502,0.07,0,0,1.15,0.87,0.754,2.78,1.85,0.93,0.62,0.5,0.22,0.58,2.2
2006,0,0,Larry Owens,SF,None,Oral Roberts,19,0,11.5,2.79,2.26,1,0.442,0.95,0.42,0.444,0.68,0.37,0.538,1.47,1.32,0.16,0.63,0.37,0.47,0.32,1.47
2006,0,0,Justin Williams,C,None,Wyoming,49,1,9.3,3.37,2.39,1.37,0.573,0.02,0,0,1.82,0.63,0.348,3.35,1.9,1.45,0.04,0.39,0.2,0.43,1.39
