Year,Round,Pick,Player,Position,NBA Team,Prev Team
2005,2,39,"Wafer, Von",G,Los Angeles Lakers,Florida State
2005,2,40,"Ellis, Monta",SG,Golden State Warriors,Lanier HS
2005,2,41,"Ukić, Roko",G,Toronto Raptors,KK Split
2005,2,42,"Taft, Chris",F,Golden State Warriors,Pittsburgh
2005,2,43,"Ilić, Mile",C,New Jersey Nets,KK Reflex
2005,2,44,"Andriuškevičius, Martynas",C,Orlando Magic,Žalgiris Kaunas
2005,2,45,"Williams, Louis",SG,Philadelphia 76ers,South Gwinnett HS
2005,2,46,"Lorbek, Erazem",F,Indiana Pacers,Climamio Bologna
2005,2,47,"Wright, Bracey",G,Minnesota Timberwolves,Indiana
2005,2,48,"Gelabale, Mickaël",F,Seattle SuperSonics,Real Madrid
2005,2,49,"Blatche, Andray",F,Washington Wizards,South Kent School
2005,2,50,"Gomes, Ryan",F,Boston Celtics,Providence
2005,2,51,"Whaley, Robert",C,Utah Jazz,Walsh
2005,2,52,"Hervelle, Axel",F,Denver Nuggets,Real Madrid
2005,2,53,"Greene, Orien",G,Boston Celtics,Louisiana-Lafayette
2005,2,54,"Thompson, Dijon",G/F,New York Knicks,UCLA
2005,2,55,"Roberts, Lawrence",F,Seattle SuperSonics,Mississippi State
2005,2,56,"Johnson, Amir",F,Detroit Pistons,Westchester HS
2005,2,57,"Gortat, Marcin",F/C,Phoenix Suns,RheinEnergie Köln
2005,2,58,"Slokar, Uroš",F,Toronto Raptors,Snaidero Udine
2005,2,59,"Akyol, Cenk",G,Atlanta Hawks,Efes Pilsen
2005,2,60,"Acker, Alex",G,Detroit Pistons,Pepperdine
2003,1,1,", LeBron James",SF,Cleveland Cavaliers,St. Vincent–St. Mary HS
2003,1,2,"Miličić, Darko",C,Detroit Pistons,Hemofarm Vršac
2003,1,3,"Anthony, Carmelo",SF,Denver Nuggets,Syracuse
2003,1,4,"Bosh, Chris",F/C,Toronto Raptors,Georgia Tech
2003,1,5,"Wade, Dwyane",SG,Miami Heat,Marquette
2003,1,6,"Kaman, Chris",C,Los Angeles Clippers,Central Michigan
2003,1,7,"Hinrich, Kirk",PG,Chicago Bulls,Kansas
2003,1,8,"Ford, T. J.",PG,Milwaukee Bucks,Texas
2003,1,9,"Sweetney, Michael",PF,New York Knicks,Georgetown
2003,1,10,"Hayes, Jarvis",F/G,Washington Wizards,Georgia
2003,1,11,"Piétrus, Mickaël",G/F,Golden State Warriors,Pau-Orthez
2003,1,12,"Collison, Nick",PF,Seattle SuperSonics,Kansas
2003,1,13,"Banks, Marcus",PG,Memphis Grizzlies,UNLV
2003,1,14,"Ridnour, Luke",PG,Seattle SuperSonics,Oregon
2003,1,15,"Gaines, Reece",F/G,Orlando Magic,Louisville
2003,1,16,"Bell, Troy",PG,Boston Celtics ,Boston College
2003,1,17,"Čabarkapa, Žarko",SF,Phoenix Suns,Budućnost Podgorica
2003,1,18,"West, David",PF,New Orleans Hornets,Xavier
2003,1,19,"Pavlović, Sasha",F/G,Utah Jazz,Budućnost Podgorica
2003,1,20,"Jones, Dahntay",SG,Boston Celtics ,Duke
2003,1,21,"Diaw, Boris",PF,Atlanta Hawks,Pau-Orthez
2003,1,22,"Planinić, Zoran",G/F,New Jersey Nets,Cibona Zagreb
2003,1,23,"Outlaw, Travis",SF,Portland Trail Blazers,Starkville HS
2003,1,24,"Cook, Brian",PF,Los Angeles Lakers,Illinois
2003,1,25,"Delfino, Carlos",SG,Detroit Pistons,Skipper Bologna
2003,1,26,"Ebi, Ndudi",SF,Minnesota Timberwolves,Westbury Christian HS
2003,1,27,"Perkins, Kendrick",C,Memphis Grizzlies,Ozen HS 
2003,1,28,"Barbosa, Leandro",SG,San Antonio Spurs,Bauru Tilibra
2003,1,29,"Howard, Josh",F/G,Dallas Mavericks,Wake Forest
2003,2,30,"Lampe, Maciej",PF,New York Knicks ,Complutense University of Madrid
2003,2,31,"Kapono, Jason",F/G,Cleveland Cavaliers,UCLA
2003,2,32,"Walton, Luke",SF,Los Angeles Lakers,Arizona
2003,2,33,"Beasley, Jerome",PF,Miami Heat,North Dakota
2003,2,34,"Schortsanitis, Sofoklis",C,Los Angeles Clippers,Iraklis BC
2003,2,35,"Szewczyk, Szymon",PF,Milwaukee Bucks,Braunschweig
2003,2,36,"Austin, Mario",PF,Chicago Bulls,Mississippi State
2003,2,37,"Hansen, Travis",SG,Atlanta Hawks,BYU
2003,2,38,"Blake, Steve",PG,Washington Wizards,Maryland
2003,2,39,"Vraneš, Slavko",C,New York Knicks,Budućnost Podgorica
2003,2,40,"Zimmerman, Derrick",PG,Golden State Warriors,Mississippi State
2003,2,41,"Green, Willie",SG,Seattle SuperSonics ,Detroit
2003,2,42,"Pachulia, Zaza",PF,Orlando Magic,Ülkerspor
2003,2,43,"Bogans, Keith",SG,Milwaukee Bucks,Kentucky
2003,2,44,"Badiane, Malick",PF,Houston Rockets,Langen
2003,2,45,"Bonner, Matt",F,Chicago Bulls,Florida
2003,2,46,"Bečirović, Sani",SG,Denver Nuggets,Virtus Bologna
2003,2,47,"Williams, Mo",PG,Utah Jazz,Alabama
2003,2,48,"Lang, James",C,New Orleans Hornets,Central Park Christian HS 
2003,2,49,"Jones, James",SF,Indiana Pacers,Miami (Florida)
2003,2,50,"Morlende, Paccelis",PG,Philadelphia 76ers,Dijon
2003,2,51,"Korver, Kyle",SG,New Jersey Nets,Creighton
2003,2,52,"van de Hare, Remon",C,Toronto Raptors,FC Barcelona
2003,2,53,"Smith, Tommy",PF,Chicago Bulls,Arizona State
2003,2,54,"Sinanović, Nedžad",C,Portland Trail Blazers,Brotnjo
2003,2,55,"Rickert, Rick",PF,Minnesota Timberwolves,Minnesota
2003,2,56,"Hunter, Brandon",PF,Boston Celtics,Ohio
2003,2,57,"Yuyang, Xue",C,Dallas Mavericks,Hong Kong Flying Dragons
2003,2,58,"Glyniadakis, Andreas",C,Detroit Pistons,AEK
2000,1,1,"Martin, Kenyon",PF,New Jersey Nets,Cincinnati
2000,1,2,"Swift, Stromile",PF/C,Vancouver Grizzlies,LSU
2000,1,3,"Miles, Darius",SF/SG,Los Angeles Clippers,East St. Louis HS
2000,1,4,"Fizer, Marcus",PF,Chicago Bulls,Iowa State
2000,1,5,"Miller, Mike",SF/SG,Orlando Magic,Florida
2000,1,6,"Johnson, DerMarr",SG/SF,Atlanta Hawks,Cincinnati
2000,1,7,"Mihm, Chris",C/PF,Chicago Bulls,Texas
2000,1,8,"Crawford, Jamal",SG,Cleveland Cavaliers,Michigan
2000,1,9,"Przybilla, Joel",C,Houston Rockets,Minnesota
2000,1,10,"Dooling, Keyon",SG,Orlando Magic,Missouri
2000,1,11,Moiso,PF,Boston Celtics,UCLA
2000,1,12,"Thomas, Etan",PF/C,Dallas Mavericks,Syracuse
2000,1,13,"Alexander, Courtney",SG,Orlando Magic,Fresno State
2000,1,14,"Cleaves, Mateen",PG,Detroit Pistons,Michigan State
2000,1,15,"Collier, Jason",C,Milwaukee Bucks,Georgia Tech
2000,1,16,Turkoglu,SF/PF,Sacramento Kings,Efes Pilsen
2000,1,17,"Mason, Desmond",SF/SG,Seattle SuperSonics,Oklahoma State
2000,1,18,"Richardson, Quentin",SF/SG,Los Angeles Clippers,DePaul
2000,1,19,"Magloire, Jamaal",PF/C,Charlotte Hornets,Kentucky
2000,1,20,"Claxton, Speedy",PG,Philadelphia 76ers,Hofstra
2000,1,21,"Peterson, Morris",SF/SG,Toronto Raptors,Michigan State
2000,1,22,"Harvey, Donnell",SF,New York Knicks,Florida
2000,1,23,"Stevenson, DeShawn",SG,Utah Jazz,Washington Union HS
2000,1,24,"Bagarić, Dalibor",C,Chicago Bulls,Benston Zagreb
2000,1,25,"Tsakalidis, Iakovos ""Jake""",C,Phoenix Suns,AEK
2000,1,26,"N'Diaye, Mamadou",C,Denver Nuggets,Auburn
2000,1,27,"Brezec, Primož",C,Indiana Pacers,Union Olimpija
2000,1,28,"Barkley, Erick",PG,Portland Trail Blazers,St. John's
2000,1,29,"Madsen, Mark",PF,Los Angeles Lakers,Stanford
2000,2,30,"Jarić, Marko",G,Los Angeles Clippers,Paf Bologna
2000,2,31,"Langhi, Dan",PF,Dallas Mavericks,Vanderbilt
2000,2,32,"Guyton, A.J.",PG,Chicago Bulls,Indiana
2000,2,33,"Voskuhl, Jake",C,Chicago Bulls,Connecticut
2000,2,34,"El-Amin, Khalid",PG,Chicago Bulls,Connecticut
2000,2,35,"Smith, Mike",F,Washington Wizards,Louisiana-Monroe
2000,2,36,"Samake, Soumaila",C,New Jersey Nets,Cincinnati Stuff
2000,2,37,"House, Eddie",SG,Miami Heat,Arizona State
2000,2,38,"Nájera, Eduardo",PF,Houston Rockets,Oklahoma
2000,2,39,"Postell, Lavor",SG,New York Knicks,St. John's
2000,2,40,Mottola,SF/PF,Atlanta Hawks,Utah
2000,2,41,"Carrawell, Chris",SG,San Antonio Spurs,Duke
2000,2,42,"Oyedeji, Olumide",PF,Seattle SuperSonics,Würzburg
2000,2,43,"Redd, Michael",SG,Milwaukee Bucks,Ohio State
2000,2,44,"Cardinal, Brian",PF,Detroit Pistons,Purdue
2000,2,45,"Smith, Jabari",C,Sacramento Kings,LSU
2000,2,46,"Hulett, DeeAndre",G,Toronto Raptors,COS
2000,2,47,"Sesar, Josip",G,Seattle SuperSonics,Cibona Zagreb
2000,2,48,"Karcher, Mark",PG,Philadelphia 76ers,Temple
2000,2,49,"Hart, Jason",PG,Milwaukee Bucks,Syracuse
2000,2,50,"Dickens, Kaniel",F,Utah Jazz,Idaho
2000,2,51,"Rakočević, Igor",G,Minnesota Timberwolves,Red Star Belgrade
2000,2,52,"Brown, Ernest",C,Miami Heat,Indian Hills CC
2000,2,53,"McClintock, Dan",C,Denver Nuggets,Northern Arizona
2000,2,54,"Hightower, Cory",G,San Antonio Spurs,Indian Hills CC
2000,2,55,"Porter, Chris",F,Golden State Warriors,Auburn
2000,2,56,"Walls, Jaquay",G,Indiana Pacers,Colorado
2000,2,57,"Penn, Scoonie",G,Atlanta Hawks,Ohio State
2000,2,58,"Mickeal, Pete",F,Dallas Mavericks,Cincinnati
1999,1,1,"Brand, Elton",PF,Chicago Bulls,Duke
1999,1,2,"Francis, Steve",G,Vancouver Grizzlies,Maryland
1999,1,3,"Davis, Baron",PG,Charlotte Hornets,UCLA
1999,1,4,"Odom, Lamar",F,Los Angeles Clippers,Rhode Island
1999,1,5,"Bender, Jonathan",F,Toronto Raptors,Picayune Memorial HS
1999,1,6,"Szczerbiak, Wally",SF,Minnesota Timberwolves,Miami (OH)
1999,1,7,"Hamilton, Richard",SG,Washington Wizards,Connecticut
1999,1,8,"Miller, Andre",PG,Cleveland Cavaliers,Utah
1999,1,9,"Marion, Shawn",F,Phoenix Suns,UNLV
1999,1,10,"Terry, Jason",G,Atlanta Hawks,Arizona
1999,1,11,"Langdon, Trajan",SG,Cleveland Cavaliers,Duke
1999,1,12,"Radojević, Aleksandar",C,Toronto Raptors,Barton County CC
1999,1,13,"Maggette, Corey",SG/SF,Seattle SuperSonics,Duke
1999,1,14,"Avery, William",PG,Minnesota Timberwolves,Duke
1999,1,15,"Weis, Frédéric",C,New York Knicks,Limoges
1999,1,16,"Artest, Ron",SF,Chicago Bulls,St. John's
1999,1,17,"Bowdler, Cal",PF,Atlanta Hawks,Old Dominion
1999,1,18,"Posey, James",SG/SF,Denver Nuggets,Xavier
1999,1,19,"Lewis, Quincy",SF,Utah Jazz,Minnesota
1999,1,20,"Glover, Dion",SG,Atlanta Hawks,Georgia Tech
1999,1,21,"Foster, Jeff",PF,Golden State Warriors,Southwest Texas State
1999,1,22,"Thomas, Kenny",PF,Houston Rockets,New Mexico
1999,1,23,"George, Devean",SF,Los Angeles Lakers,Augsburg
1999,1,24,"Kirilenko, Andrei",SF,Utah Jazz,CSKA Moscow
1999,1,25,"James, Tim",SF,Miami Heat,Miami
1999,1,26,"Cummings, Vonteego",PG,Indiana Pacers,Pittsburgh
1999,1,27,"Jones, Jumaine",SF,Atlanta Hawks,Georgia
1999,1,28,"Padgett, Scott",PF,Utah Jazz,Kentucky
1999,1,29,"Smith, Leon",PF,San Antonio Spurs,King College Prep HS
1999,2,30,"Celestand, John",PG,Los Angeles Lakers,Villanova
1999,2,31,"Hill, Rico",F,Los Angeles Clippers,Illinois State
1999,2,32,"Ruffin, Michael",PF,Chicago Bulls,Tulsa
1999,2,33,"Herren, Chris",G,Denver Nuggets,Fresno State
1999,2,34,"Eschmeyer, Evan",C,New Jersey Nets,Northwestern
1999,2,35,"Booth, Calvin",C,Washington Wizards,Penn State
1999,2,36,"Wang Zhizhi,",C,Dallas Mavericks,Bayi Rockets
1999,2,37,"Ekezie, Obinna",C,Vancouver Grizzlies,Maryland
1999,2,38,"Profit, Laron",SG/SF,Orlando Magic,Maryland
1999,2,39,"Bramlett, A. J.",C,Cleveland Cavaliers,Arizona
1999,2,40,"Giriček, Gordan",G/F,Dallas Mavericks,CSKA Moscow
1999,2,41,"Elson, Francisco",C,Denver Nuggets,California
1999,2,42,"Bullock, Louis",G,Minnesota Timberwolves,Michigan
1999,2,43,"Nailon, Lee",SF,Charlotte Hornets,TCU
1999,2,44,"Washington, Tyrone",C,Houston Rockets,Mississippi State
1999,2,45,"Robertson, Ryan",G,Sacramento Kings,Kansas
1999,2,46,"Koch, J. R.",F,New York Knicks,Iowa
1999,2,47,Macculloch,C,Philadelphia 76ers,Washington
1999,2,48,"Young, Galen",G,Milwaukee Bucks,Charlotte
1999,2,49,"Ketner, Lari",C,Chicago Bulls,UMass
1999,2,50,"Hamilton, Venson",C,Houston Rockets,Nebraska
1999,2,51,"Smith, Antwain",F,Vancouver Grizzlies,Saint Paul's
1999,2,52,"Bergersen, Roberto",G,Atlanta Hawks,Boise State
1999,2,53,"Buford, Rodney",SG,Miami Heat,Creighton
1999,2,54,"Levett, Melvin",SG,Detroit Pistons,Cincinnati
1999,2,55,"Clack, Kris",G,Boston Celtics,Texas
1999,2,56,"Young, Tim",C,Golden State Warriors,Stanford
